name,a,b,lat,lon,c
Wanstead,N,0,51.57552134,0.028745919,0
Warren Street,N,0,51.52451152,-0.138272313,0
Warwick Avenue,N,0,51.52327252,-0.183678271,0
Waterloo,N,0,51.50350221,-0.114069436,0
Watford,N,0,51.65742097,-0.417280632,0
Wembley Park,N,0,51.56326048,-0.279251009,0
West Acton,N,0,51.51786059,-0.28099329,0
West Finchley,N,0,51.60948571,-0.18846887,0
West Harrow,N,0,51.57977819,-0.352920631,0
West India Quay,N,0,51.50663844,-0.020148081,0
West Kensington,N,0,51.49049169,-0.206477115,0
Westbourne Park,N,0,51.52092085,-0.200883771,0
Westferry,N,0,51.50943178,-0.025791956,0
Westminster,N,0,51.50108458,-0.124818265,0
White City,N,0,51.51197811,-0.224254319,0
Willesden Green,N,0,51.54930889,-0.222410152,0
Wood Green,N,0,51.59747603,-0.109626381,0
Woodford,N,0,51.60703337,0.034037144,0
Woodside Park,N,0,51.61781141,-0.185421028,0
